url,category
https://news.gatech.edu/news/2022/07/15/global-engagement-pivots-world-changes,campus_and_community

https://news.gatech.edu/news/2022/06/21/title-ix-turns-50,campus_and_community

https://news.gatech.edu/news/2022/06/16/introducing-gtgraffiti-robot-paints-human,science_and_technology

https://news.gatech.edu/news/2022/05/25/10-tips-unplug-vacation,campus_and_community

https://news.gatech.edu/news/2022/05/24/top-guns-return-sparks-another-adrenaline-rush,campus_and_community

https://news.gatech.edu/news/2022/05/19/winnefeld-appointed-chair-key-white-house-intelligence-board,campus_and_community

https://news.gatech.edu/news/2022/05/16/framework-equity-energy-and-environmental-engineering,earth_and_environment

https://news.gatech.edu/news/2022/05/05/georgia-tech-professor-laurie-garrow-offers-5-tips-airline-travel-summer,campus_and_community

https://news.gatech.edu/news/2022/04/28/meet-chris-griffin-title-ix-coordinator,campus_and_community

https://news.gatech.edu/news/2022/04/06/first-large-scale-study-covid-era-birth-data-finds-significant-drop-premature,health_and_medicine

https://news.gatech.edu/news/2022/04/05/georgia-tech-plans-tokyo-redesign-using-social-data-including-tweets,society_and_culture

https://news.gatech.edu/news/2022/03/29/georgia-tech-admission-announces-decisions,campus_and_community

https://news.gatech.edu/news/2022/03/23/well-being-classroom,campus_and_community

https://news.gatech.edu/news/2022/03/21/relief-fund-created-students-ukraine,campus_and_community

https://news.gatech.edu/news/2022/02/24/week-events-highlights-sustainable-development-goals,campus_and_community

https://news.gatech.edu/news/2022/01/27/black-history-month-viewing-recommendations,campus_and_community

https://news.gatech.edu/news/2022/01/21/looking-ahead-2022-and-beyond,business_and_economic_development

https://news.gatech.edu/news/2022/01/10/study-examines-diversity-research-publishing,science_and_technology

https://news.gatech.edu/news/2021/11/18/library-archives-aims-capture-diverse-voices,campus_and_community

https://news.gatech.edu/news/2021/11/08/new-study-reveals-racial-ethnic-disparities-use-increasingly-popular-prostate,health_and_medicine

https://news.gatech.edu/news/2021/11/03/flourishing-communities-collaborative-wins-pit-un-grant,science_and_technology

https://news.gatech.edu/news/2021/10/21/be-afraid-what-read-halloween,society_and_culture

https://news.gatech.edu/news/2021/10/05/looking-things-do-over-fall-break,campus_and_community

https://news.gatech.edu/news/2021/09/02/exploring-role-gender-scholarly-authorship-disputes,society_and_culture

https://news.gatech.edu/news/2021/08/27/teaching-ai-dance,science_and_technology

https://news.gatech.edu/news/2021/07/15/dynamic-duo-leads-tech-wreck-summer-camp,campus_and_community

https://news.gatech.edu/news/2021/05/19/georgia-tech-study-finds-more-snap-retailers-rural-areas-lowers-rates-child,society_and_culture

https://news.gatech.edu/news/2021/05/17/biweekly-iot-news-digest-may-17-center-development-and-application-internet-things,science_and_technology

https://news.gatech.edu/news/2021/05/02/saying-green-goodbyes-sustainability-student-support-move-out,earth_and_environment

https://news.gatech.edu/news/2021/04/30/biweekly-iot-news-digest-april-30-center-development-and-application-internet,science_and_technology

https://news.gatech.edu/news/2021/04/29/grubert-contributes-new-report-path-equitable-energy-transition,earth_and_environment

https://news.gatech.edu/news/2021/04/21/event-marks-history-while-embracing-future,campus_and_community

https://news.gatech.edu/news/2021/03/23/study-finds-person-sporting-events-do-not-lead-significant-covid-19-community,health_and_medicine

https://news.gatech.edu/news/2021/03/16/georgia-techs-center-study-women-science-and-technology-host-2021-distinguished,society_and_culture

https://news.gatech.edu/news/2021/03/16/georgia-techs-center-study-women-science-and-technology-host-2021-distinguished-0,society_and_culture

https://news.gatech.edu/news/2021/03/10/ivan-allen-jr-prize-social-courage-be-awarded-march-15,campus_and_community

https://news.gatech.edu/news/2021/02/24/georgia-tech-hosts-notable-names-during-black-history-month,campus_and_community

https://news.gatech.edu/news/2021/01/28/black-history-month-reading-recommendations,campus_and_community

https://news.gatech.edu/news/2020/12/16/ivan-allen-college-researcher-shows-many-us-faced-economic-hardship-due-covid-19-0,society_and_culture

https://news.gatech.edu/news/2020/12/16/ivan-allen-college-researcher-shows-many-us-faced-economic-hardship-due-covid-19,society_and_culture

https://news.gatech.edu/news/2020/11/18/home-holidays-know-travel-risks-you-go,society_and_culture

https://news.gatech.edu/news/2020/11/16/global-engagement-takes-detour,campus_and_community

https://news.gatech.edu/news/2020/11/05/arts-time-covid-19-georgia-tech-arts-pivots,campus_and_community

https://news.gatech.edu/news/2020/10/27/can-we-get-along-resilience-can-help-promote-civil-discourse,campus_and_community

https://news.gatech.edu/news/2020/10/23/nominations-2021-inclusive-leaders-academy-program-now-open,campus_and_community

https://news.gatech.edu/news/2020/10/19/2020-transformative-narratives-storytelling-crawl-be-hosted-virtually,campus_and_community

https://news.gatech.edu/news/2020/09/30/votertech-vip-students-lead-effort-inform-engage-would-be-campus-voters,campus_and_community

https://news.gatech.edu/news/2020/09/16/2020-georgia-tech-diversity-symposium-focuses-disability-awareness-and-inclusion,campus_and_community

https://news.gatech.edu/news/2020/09/11/fourth-cohort-set-diversity-and-inclusion-fellows-program,society_and_culture

https://news.gatech.edu/news/2020/08/25/40th-challenge-program-hosts-75-incoming-students,society_and_culture

https://news.gatech.edu/news/2020/08/21/terry-blum-and-martha-grover-join-advance-program,society_and_culture

https://news.gatech.edu/news/2020/06/30/can-we-talk-about-race-and-racism-yes,society_and_culture

https://news.gatech.edu/news/2020/06/24/what-read-summer,society_and_culture

https://news.gatech.edu/news/2020/05/19/people-think-robots-are-pretty-incompetent-and-not-funny-new-study-says,science_and_technology

